Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Instructor language,Q22,Q23,Q24,Q25,Q26
"Student responsibilities, laboratory organization and grading criteria are clearly communicated.",My instructor is consistently well-prepared and knowledgeable about the topics covered in this course.,My instructor uses class time wisely.,My instructor provides feedback in class and/or on assignments that helps me improve my skills.,My instructor provides feedback in class and/or on assignments that helps me improve my skills.,My instructor is able to recognize when students do not comprehend material and make adjustments to help.,My instructor is approachable and available for extra help.,My instructor is enthusiastic and concerned about student learning.,"My instructor promotes an atmosphere of mutual respect regarding diversity in student demographic and viewpoints, such as race, gender, or politics.",My instructor chooses classroom activities that promote better learning,My instructor chooses representative problems/assignments that review and reinforce course concepts.,"My instructor relates theories and concepts to practical, real-world issues.",My instructor encourages me to collaborate with peers and to independently solve problems.,"My instructor clearly communicates the subject matter; incorporating clear explanations, examples, illustrations, analogies, et cetera.","My instructor listens and responds appropriately to student questions, comments and opinions.",My instructor requires no more listening effort than a native English-speaking instructor does.,My instructor speaks slowly enough to ensure my comprehension.,My instructor speaks loudly enough to ensure my comprehension.,My instructor reinforces key words/concepts with written or visual support when necessary.,"Overall, my instructor’s teaching effectively supports me as a learner.",Do you consider your graduate instructor's language an obstacle to your learning?,Please give some specific examples of situations where there was a difficulty in understanding your instructor.,What is going well in this course?,What could be improved?,Which aspects of the teaching or content of this course have been especially good so far?,Which aspects of the teaching or content of this course have not been helpful so far?,What suggestions do you have that would help your learning in this course during the rest of this semester?
Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,"No, I can understand my instructor just fine",,I’m not sure yet ,Engagement,Case study examples,Too much information and not many examples ,"Kahoot, online engagement "
Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"No, I can understand my instructor just fine",,class engagement ,technology within the classroom is sometimes funky ,"nice, and personal ",none ,confidence is key! 
Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,"No, I can understand my instructor just fine",,,,,,
Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,"No, I can understand my instructor just fine",,Good communication,Better responses to opinions ,Enthusiasm ,Going too fast during lecture,Slowing down during lecture so we can take notes 
Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,"No, I can understand my instructor just fine",,Class discussion,Elaborating on concepts,Iclicker,Textbook/quiz specifics ,Teach us what will be on the quiz
Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"No, I can understand my instructor just fine",,class work,n/a,leadership,n/a,less HW
Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,"No, I can understand my instructor just fine",,Class content,Instructor should slow down and make sure we understand before moving on,Use of iClicker,group work,not have it at 8am
Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,"No, I can understand my instructor just fine",,Students engaging in the class and instructor doing a good job guiding discussions,Slightly slower pace ,Hard to tell because it is just the beginning,Also hard to tell but can be slowed just a bit in class ,Slowing down the pace slightly in class. Just long enough to take some brief notes 
Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,"No, I can understand my instructor just fine",,Class lecture,His confidence,He is very knowledgeable,None,None
Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly disagree,Agree,Strongly agree,Neutral,"No, I can understand my instructor just fine",,The visual portion. Powerpoints and 5 minute snippets.,Explanation of the assignments outside of class. We seemed to be rush into group projects we aren't exactly sure how to tackle very quick.,The fact that we are given time to talk to our classmates helps. I understand a little more of their perception because I get to work with them on projects.,The speed that he goes through the slides and presentations.,Just a little slower delievery in class. I would not mind staying longer if I could understand content better. Also if the class was not only at 8 am.
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,"No, I can understand my instructor just fine",,I am learning concepts I have not learned yet.,More clear directions on who has to turn in the group assignments.,five minute snippets,N/A,N/A
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,"No, I can understand my instructor just fine",,He is prepared and very high energy which is encouraging for an 8am!,He can talk fast and go through slides fast which makes it hard to take notes. If the notes could be available before class so we can print them out and take notes that would be helpful.,He relates things to the real world so we can better understand concepts. ,Not having the slides. ,Give us the slides. 
Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Disagree,Neutral,"No, I can understand my instructor just fine",,Deadlines and dates ,Actually learning about what is on the quiz’s and tests in class and use some of the textbook learning in class rather than all the textbook just being on us.,Making sure everyone gets it and their questions are answered.,How quickly we go over the notes in class and how diffrent the quizzes and tests are from what we go over in class.,Slow down and condense it a little bit to better get it covered and understood in class.
Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,"No, I can understand my instructor just fine",,,,,,
Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"No, I can understand my instructor just fine",,,,,,
